custom_xmltv_id,uhf_pk,category,name,target_xmltv_id,target_name,target_country,target_guide_sites,source_epg_channel_id,logo_url
uhf:2097,2097,Spain,ESP-ENERGY,ES:Energy.es,Energy,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/df9e2-energy.svg.png
uhf:2112,2112,Spain,ESP-Historia,ES:Historia.es,Historia,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/0fec7-channels4_profile.jpg
uhf:2094,2094,Spain,ESP-La_Sexta_HD,ES:LaSexta.es,La Sexta,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/31bca-la_sexta_-a3m-.svg.png
uhf:2169,2169,Spain,ESP-MEGA,ES:Mega.es,Mega,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/db3bf-01_mega_logo.svg.png
uhf:2142,2142,Spain,ESP-NICKELODEON,ES:Nickelodeon.es,Nickelodeon,ES,gatotv.com;meo.pt;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/906f0-nickelodeon_2023_logo_-alternative-.svg.png
uhf:2111,2111,Spain,ESP-National_Geographic,ES:NationalGeographic.es,National Geographic,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/7d1d2-national-geographic-logo.svg.png
uhf:2109,2109,Spain,ESP-National_Geographic_Wild,ES:NationalGeographicWild.es,National Geographic Wild,ES,orangetv.orange.es,,https://cms123456.com/assets/uploads/files/064c2-national_geographic_wild_logo.svg.png
uhf:2166,2166,Spain,ESP-Neox,ES:Neox.es,Neox,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/70a5c-telechargement-5-.png
uhf:2184,2184,Spain,ESP-Nick JR,ES:NickJr.es,Nick Jr.,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/1d491-nick_jr._logo_2023.png
uhf:2168,2168,Spain,ESP-Nova,ES:Nova.es,Nova,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/cbbcd-512x512bb.jpg
uhf:2157,2157,Spain,ESP-ODISEA_HD,ES:Odisea.es,Odisea,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/10492-telechargement-11-.png
uhf:2122,2122,Spain,ESP-Real_Madrid,ES:RealMadridTV.es,Real Madrid TV,ES,chaines-tv.orange.fr;epg.iptvx.one;gatotv.com;i.mjh.nz;orangetv.orange.es;pluto.tv;programacion-tv.elpais.com;tv.sfr.fr;xumo.tv,,https://cms123456.com/assets/uploads/files/cebee-real-madrid-tv-free-800x450.jpg
uhf:2121,2121,Spain,ESP-SUNDANCE_TV,ES:SundanceTV.es,Sundance TV,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/67cd7-telechargement-10-.png
uhf:2110,2110,Spain,ESP-SYFY_HD,ES:Syfy.es,Syfy,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/b6d2f-unnamed.png
uhf:2092,2092,Spain,ESP-TELECINCOHD,ES:Telecinco.es,Telecinco,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/b59bb-telecinco.svg.png
uhf:2135,2135,Spain,ESP-Teledeporte,ES:Teledeporte.es,Teledeporte,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/aa652-150px-teledeporte.svg.png
uhf:2088,2088,Spain,La 1,ES:La1.es,La 1,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com;tv-programme.telecablesat.fr,ES:La1.es,https://i.ibb.co/MxJNPHsn/La-1.png
uhf:2089,2089,Spain,La 2,ES:La2.es,La 2,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com;tv-programme.telecablesat.fr,ES:La2.es,https://i.ibb.co/rfsr9PSh/La-2.png
uhf:2086,2086,Spain,Trece,ES:Trece.es,Trece,ES,orangetv.orange.es,,
uhf:1268,1268,French Sports,FR-SP:Rmc Sport 3 Live,FR:RMCSport3.fr,RMC Sport 3,FR,tv.sfr.fr,,https://cms123456.com/assets/uploads/files/04c3c-e05b5-rmc-sport-1.jpg
uhf:1269,1269,French Sports,FR-SP:Rmc Sport 4 Live,FR:RMCSport4.fr,RMC Sport 4,FR,tv.sfr.fr,,https://cms123456.com/assets/uploads/files/04c3c-e05b5-rmc-sport-1.jpg
