uhf_pk,category,name,original_name,source_epg_channel_id,source_country,target_xmltv_id,target_name,target_country,target_guide_sites,match_method,confidence,review,notes,logo_url
1825,Canada,Canada- City Vancouver FHD CA,Canada- City Vancouver FHD CA,,CA,,,,,unmapped,0.522,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1896,Canada,Canada- DEJAVIEW,Canada- DEJAVIEW,,CA,CA:DejaView.ca,DejaView,CA,ontvtonight.com;tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1874,Canada,Canada- DISNEY Ca,Canada- DISNEY Ca,,CA,CA:DisneyChannel.ca,Disney Channel,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1873,Canada,Canada- DISNEY JR Ca,Canada- DISNEY JR Ca,,CA,CA:DisneyChannel.ca,Disney Channel,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1820,Canada,Canada- Discovery Science CA,Canada- Discovery Science CA,,CA,CA:DiscoveryScience.ca,Discovery Science,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1819,Canada,Canada- Disney HD,Canada- Disney HD,,CA,CA:DisneyChannel.ca,Disney Channel,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1818,Canada,Canada- Disney JR HD CA,Canada- Disney JR HD CA,,CA,CA:DisneyChannel.ca,Disney Channel,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1863,Canada,Canada- Diy network,Canada- Diy network,,CA,,,,,unmapped,0.800,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1817,Canada,Canada- E! Entertainment HD CA,Canada- E! Entertainment HD CA,,CA,,,,,unmapped,0.480,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1887,Canada,Canada- FAMILY,Canada- FAMILY,,CA,CA:FamilyChannel.ca,Family Channel,CA,tvhebdo.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1815,Canada,Canada- FX FHD CA,Canada- FX FHD CA,,CA,CA:FX.ca,FX,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1872,Canada,Canada- FX HD Ca,Canada- FX HD Ca,,CA,CA:FX.ca,FX,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1814,Canada,Canada- FXX CA,Canada- FXX CA,,CA,CA:FXX.ca,FXX,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
