uhf_pk,type,category,name,original_name,epg_channel_id,logo_url
1934,0,Canada,Canada- Sports Net World HD,Canada- Sports Net World HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1793,0,Canada,Canada- Super Ecran 1 (FR),Canada- Super Ecran 1 (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1922,0,Canada,Canada- Super Ecran 2 (FR),Canada- Super Ecran 2 (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1923,0,Canada,Canada- Super Ecran 3 (FR),Canada- Super Ecran 3 (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1924,0,Canada,Canada- Super Ecran 4 (FR),Canada- Super Ecran 4 (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1844,0,Canada,Canada- TELE QUEBEC QC,Canada- TELE QUEBEC QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1806,0,Canada,Canada- TLC HD CA,Canada- TLC HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1843,0,Canada,Canada- TMN 2 HD Ca,Canada- TMN 2 HD Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1892,0,Canada,Canada- TRAVEL ESCAPE,Canada- TRAVEL ESCAPE,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1842,0,Canada,Canada- TREEHOUSE Ca,Canada- TREEHOUSE Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1805,0,Canada,Canada- TSN 1 HD CA,Canada- TSN 1 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1804,0,Canada,Canada- TSN 2 HD CA,Canada- TSN 2 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1803,0,Canada,Canada- TSN 3 HD CA,Canada- TSN 3 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1802,0,Canada,Canada- TSN 4 HD CA,Canada- TSN 4 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1801,0,Canada,Canada- TSN 5 HD CA,Canada- TSN 5 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1841,0,Canada,Canada- TURNER CLASSIC MOVIES Ca,Canada- TURNER CLASSIC MOVIES Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1840,0,Canada,Canada- TV5 QUEBEC QC,Canada- TV5 QUEBEC QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1928,0,Canada,Canada- TVA Montreal (CFTM),Canada- TVA Montreal (CFTM),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1839,0,Canada,Canada- TVA SPORTS QC,Canada- TVA SPORTS QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1891,0,Canada,Canada- TVO,Canada- TVO,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1925,0,Canada,Canada- Teletoon (FR),Canada- Teletoon (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1796,0,Canada,Canada- Teletoon Eng,Canada- Teletoon Eng,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1931,0,Canada,Canada- Unis_TV_(FR),Canada- Unis_TV_(FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1838,0,Canada,Canada- VISION TV Ca,Canada- VISION TV Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1837,0,Canada,Canada- VRAK TV QC,Canada- VRAK TV QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1897,0,Canada,Canada- W_NETWORK,Canada- W_NETWORK,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1895,0,Canada,Canada- Wild TV,Canada- Wild TV,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1836,0,Canada,Canada- YES Ca,Canada- YES Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1800,0,Canada,Canada- YES TV HD CA,Canada- YES TV HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1889,0,Canada,Canada- YOOPA (FR),Canada- YOOPA (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1888,0,Canada,Canada- YTV,Canada- YTV,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1835,0,Canada,Canada- Z TELE QC,Canada- Z TELE QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1834,0,Canada,Canada- ZESTE QC,Canada- ZESTE QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1832,0,Canada,Canada- beIN Sports HD CA,Canada- beIN Sports HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1927,0,Canada,Canada- crave 2,Canada- crave 2,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1848,0,Canada,Canada- crave1,Canada- crave1,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1938,0,Canada,Canada-CBC CALGARY HD,Canada-CBC CALGARY HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1799,0,Canada,Canada-Daystar,Canada-Daystar,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1939,0,Canada,Canada-Family jr,Canada-Family jr,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1807,0,Canada,Sportsnet (Ontario),Canada- Sports Net West HD CA,!$!66F1AC9F-76BD-40AD-AA7D-6299B0BA0A8E!$!CA:Sportsnet.ca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Logo_Sportsnet_2011.svg/960px-Logo_Sportsnet_2011.svg.png
1062,0,Canal + Africa,C+ AF| WALF TV,C+ AF| WALF TV,,https://cms123456.com/assets/uploads/files/0a7b2-eb549-81e6c-icon-esiptv-bein-hd.png
1133,0,Canal + Africa,|C+ AF| 2STV,|C+ AF| 2STV,,https://cms123456.com/assets/uploads/files/02950-2stv.jpg
1105,0,Canal + Africa,|C+ AF| 3TV,|C+ AF| 3TV,,https://cms123456.com/assets/uploads/files/4830b-3tv.jpg
1136,0,Canal + Africa,|C+ AF| 7INFO,|C+ AF| 7INFO,,https://cms123456.com/assets/uploads/files/84462-7info.jpeg
1067,0,Canal + Africa,|C+ AF| A+,|C+ AF| A+,,https://cms123456.com/assets/uploads/files/6e1ee-a-.png
1065,0,Canal + Africa,|C+ AF| A+ IVOIRE Antenne,|C+ AF| A+ IVOIRE Antenne,,https://cms123456.com/assets/uploads/files/7648e-a-ivoire-antenne.jpeg
1066,0,Canal + Africa,|C+ AF| A+ International,|C+ AF| A+ International,,https://cms123456.com/assets/uploads/files/b62f0-a-.png
1154,0,Canal + Africa,|C+ AF| AFRICA 24,|C+ AF| AFRICA 24,,https://cms123456.com/assets/uploads/files/d54b5-africa-24.png
1185,0,Canal + Africa,|C+ AF| AFRICABLE,|C+ AF| AFRICABLE,,https://cms123456.com/assets/uploads/files/178e2-africable.png
1119,0,Canal + Africa,|C+ AF| ALAFIA TV,|C+ AF| ALAFIA TV,,https://cms123456.com/assets/uploads/files/e521b-alafia-tv.jpeg
1146,0,Canal + Africa,|C+ AF| ALBAYANE,|C+ AF| ALBAYANE,,https://cms123456.com/assets/uploads/files/4a361-albayane.png
1197,0,Canal + Africa,|C+ AF| ANTENNE ,|C+ AF| ANTENNE ,,https://cms123456.com/assets/uploads/files/6c4c2-antenne.png
